ID,Cena,Metraż,Pokoje,Lokalizacja,Ulica,Typ,Bez Pośredników,Opis,Link
3943146,598977,28.0,2,Kraków Płaszów,ul. Mierzeja Wiślana,Mieszkanie,Tak,"English Below

Adres: Kraków, ul. Mierzeja Wiślana 6

OFERTA nowego wykończonego mieszkania wraz z wyposażaniem w cenie:
• Bezpośrednio od właściciela, bez dodatkowy opłat i prowizji od zakupu
• Mieszkanie z księgą wieczystą, pełna własność
• Sprzedaż na fakturę VAT, co zwalnia z podatku PCC 2% od z...",https://adresowo.pl/o/mieszkanie-krakow-plaszow-ul-mierzeja-wislana-2-pokojowe-f0m0p3
3955060,1187000,68.0,3,Kraków Krowodrza,ul. Józefitów,Mieszkanie,Tak,"3 pokoje 68m, ul. Józefitów (Krowodrza) bezpośrednio
Sprzedam mieszkanie 3-pokojowe przy ul. Józefitów w Krakowie. Jasne, ekspozycja południowa. Kamienica z 1921 roku, 1. piętro (brak windy). Lokalizacja blisko Placu Inwalidów (dojazd do kazdej części Krakowa), Parku Krakowskiego i Młynówki Królewsk...",https://adresowo.pl/o/mieszkanie-krakow-krowodrza-ul-jozefitow-3-pokojowe-t3e5g8
3955104,915000,47.0,2,Kraków Kazimierz,ul. Bożego Ciała,Mieszkanie,Tak,"Sprzedam komfortowe mieszkanie w Krakowie w centrum dzielnicy Kazimierz przy ul. Bożego Ciała / Meiselsa. Idealne pod wynajem. Mieszkanie o pow. 47,7 m2 składa się z 2 pokoi, sypialnia umeblowana, duże łóżko, szafa, komoda,biurko -  pokój dzienny (28 m2) rozkładana 3 osobowa kanapa fotel, stół, 4 kr...",https://adresowo.pl/o/mieszkanie-krakow-kazimierz-ul-bozego-ciala-2-pokojowe-a1p0s8
3376096,754947,45.0,2,Kraków,ul. Kobierzyńska,Mieszkanie,Tak,"Nowe mieszkanie 2-pokojowe o powierzchni 45,22 m² w inwestycji Apartamenty CASA SOLE dewelopera Smart Apartments Sp.z o.o., na 1 piętrze w budynku 193E pod adresem ul. Kobierzyńska 193E, Kraków. Planowany termin oddania to III kwartał 2025 roku.

O inwestycji

Casa Sole to nowoczesna, przyjazna ar...",https://adresowo.pl/o/mieszkanie-krakow-ul-kobierzynska-2-pokojowe-a1r5e5
3954660,665000,45.0,3,Kraków Dębniki,ul. Słomiana,Mieszkanie,Nie,"| 
    3 niezależne pokoje / spółdzielcze własnościowe prawo do lokalu / 4.piętro / mieszkanie z potencjałem / dobra cena     
 
  

         Tylko u nas, mamy klucze.   
   Prezentowane mieszkanie o pow. 45,7 m   2    przy ul. Słomianej to propozycja dla osób, które szukają mieszkania do remontu, a...",https://adresowo.pl/o/mieszkanie-krakow-debniki-ul-slomiana-3-pokojowe-a0o3g6
3954634,694000,47.0,3,Kraków Grzegórzki,ul. Bajeczna,Mieszkanie,Nie,"3 pokoje/ 47 m2/ Grzegórzki/ Dąbie / ul. Bajeczna

Oferta na wyłączność tylko w naszym biurze

Super lokalizacja !!!.
Agencja Nieruchomości Optima prezentuje mieszkanie 3 - pokojowe o pow. 46,93 m 2 w dzielnicy Grzegórzki przy ulicy Bajeczna przy Bulwarach Wiślanych.
Usytuowane jest na 4 piętrze w 4...",https://adresowo.pl/o/mieszkanie-krakow-grzegorzki-ul-bajeczna-3-pokojowe-j9t5p2
3955044,695000,61.0,3,Kraków Kurdwanów,ul. por. Halszki,Mieszkanie,Tak,"Mieszkanie dobrze skomunikowane z widokiem na park osiedlowy, w pobliżu szkoła i przedszkole - graniczące z parkiem Osobna jasna kuchnia, przy salonie duży balkon - loggia, osobna łazienka i wc (po remoncie) +materiał na remont łazienki, piwnica o pow. 4,3 m2. Ciepła woda i ogrzewanie z MPEC, czynsz...",https://adresowo.pl/o/mieszkanie-krakow-kurdwanow-ul-por-halszki-3-pokojowe-p8x2l2
3952830,1400000,60.0,3,Kraków Prądnik Biały,ul. Józefa Wybickiego,Mieszkanie,Tak,"Cena obejmuje mieszkanie, dwa miejsca parkingowe w parkingu podziemnym oraz dużą komurkę.
Czynsz: 300 PLN + media

Mieszkanie wykończone w standardzie ""dla siebie""  (ponad standard deweloperski) w październiku 2025, z myślą o rodzinie.

Wnętrze i Materiały
- Blaty: Kuchenne blat i fartuch oraz łazie...",https://adresowo.pl/o/mieszkanie-krakow-pradnik-bialy-ul-jozefa-wybickiego-3-pokojowe-q0y0l4
3376094,868623,59.0,3,Kraków,ul. Kobierzyńska,Mieszkanie,Tak,"Nowe mieszkanie 3-pokojowe o powierzchni 59,09 m² w inwestycji Apartamenty CASA SOLE dewelopera Smart Apartments Sp.z o.o., na 1 piętrze w budynku 193E pod adresem ul. Kobierzyńska 193E, Kraków. Planowany termin oddania to III kwartał 2025 roku.

O inwestycji

Casa Sole to nowoczesna, przyjazna ar...",https://adresowo.pl/o/mieszkanie-krakow-ul-kobierzynska-3-pokojowe-w4e3o4
3954416,835000,61.0,3,Kraków,ul. Mariana Domagały,Mieszkanie,Nie,"Proponujemy  Państwu przestronne, nowoczesne mieszkanie położone w Krakowie /Złocieniu. 
Mieszkanie praktycznie nowe, budynek z 2021r. składa się z 2 sypialni,  salonu z klimatyzacją, oddzielnej i wyposażonej  kuchni, łazienki, przedpokoju, 2 balkonów , oraz 2 miejsc parkingowych ( 1 w garażu, drugi...",https://adresowo.pl/o/mieszkanie-krakow-ul-mariana-domagaly-3-pokojowe-z3f7i6
3954172,515000,46.0,2,Kraków Dębniki,ul. św. Jacka,Mieszkanie,Nie,"PRZYTULNE MIESZKANIE PRZY ZAKRZÓWKU DĘBNIKI
Do sprzedaży mieszkanie przy ulicy Świętego Jacka o powierzchni 46,85 m2. Mieszkanie znajduje się na niskim parterze, jest jasne i funkcjonalne, składa się z dwóch sypialni, osobnej kuchni oraz łazienki.  
UKŁAD MIESZKANIA 
- pokój: 18,32 m2
- pokój 9,86 m...",https://adresowo.pl/o/mieszkanie-krakow-debniki-ul-sw-jacka-2-pokojowe-b2e7d0
3954538,500000,36.0,1,Kraków Dębniki,ul. bpa Albina Małysiaka,Mieszkanie,Tak,"Sprzedam mieszkanie 1 pokojowe 36 m kw, nowocześnie umeblowane, ladna okolica, własnościowe, ksiega wieczysta, bezpośrednio od wlasciciela. Proszę dzwonić na telefon 606208056, po godzinie 16.00 ze względu na pracę.",https://adresowo.pl/o/mieszkanie-krakow-debniki-ul-bpa-albina-malysiaka-1-pokoj-x4i0s8
3954252,590000,45.0,2,Kraków Wzgórza Krzesławickie,ul. Jarzębiny,Mieszkanie,Tak,"Powierzchnia użytkowa 45,46 m2 plus balkon i duża piwnica. W skład powierzchni użytkowej wchodzi: przedpokój, 2 pokoje, łazienka z małym oknem, jasna kuchnia.
Mieszkanie po generalnym remoncie wykonanym dwa lata temu. W mieszkaniu zostało wymienione wszystko: np. okna na plastikowe, podłoga na panel...",https://adresowo.pl/o/mieszkanie-krakow-wzgorza-krzeslawickie-ul-jarzebiny-2-pokojowe-u5b5v5
