ID,Cena,Metraż,Pokoje,Lokalizacja,Ulica,Typ,Bez Pośredników,Opis,Link
3909110,398000,47.0,2,Łódź Doły,al. Chryzantem,Mieszkanie,Tak,"Sprzedam bezpośrednio funkcjonalne i jasne mieszkanie o powierzchni 47,65 m² (KW), położone na 2. piętrze (z 4) w zadbanym bloku przy ul. Chryzantem 8A, w spokojnej i zielonej części łódzkich Dołów.

Mieszkanie składa się z:
- dwóch ustawnych pokoi (18,2m² + 13m²),
- oddzielnej kuchni (9,7m²),
- prz...",https://adresowo.pl/o/mieszkanie-lodz-doly-al-chryzantem-2-pokojowe-z4i7v5
3954594,749999,93.0,3,Łódź Stare Polesie,ul. Stefana Żeromskiego,Mieszkanie,Tak,"BEZPOŚREDNIO: Klimatyczne 93 m² w sercu Łodzi. 8065 zl za metr gotowego do wprowadzenia mieszkania, z parkingiem, 2 piwnicami!
Odrestaurowana kamienica + parking!
​To nie jest zwykły lokal w bloku. To przestronny, wysoki (3 metry!) apartament w gruntownie odrestaurowanej kamienicy przy ul. Żeromskie...",https://adresowo.pl/o/mieszkanie-lodz-stare-polesie-ul-stefana-zeromskiego-3-pokojowe-s1t1s0
3921768,235000,26.0,1,Łódź Bałuty,ul. Aleksandrowska,Mieszkanie,Tak,"Oferuję do sprzedaży jasną, zadbaną kawalerkę.
Mieszkanie położone jest przy ul.Aleksandrowskiej w pobliżu licznych sklepów. m.in./Stokrotka,Biedronka/
W pobliżu znajduje się także przedszkole,szkoła,plac zabaw.
Świetna komunikacja z resztą miasta,łatwy dostęp do kluczowych punktów Łodzi. W pobliżu ...",https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-aleksandrowska-1-pokoj-a6d8h1
3954242,559000,44.0,2,Łódź,Widzew,Mieszkanie,Tak,"Sprzedam mieszkanie 2 pokojowe 44
mkw, bezpośrednio bez pośredników w nowej inwestycji z 2025 roku Łódź-Widzew ,,Zenit,, wykończone pod klucz. Mieszkanie na 2 piętrze składa się z salonu z aneksem kuchennym, sypialni, łazienki, przedpokoju i balkonu. W pełni wykończone, meble robione na wymiar, sprz...",https://adresowo.pl/o/mieszkanie-lodz-widzew-2-pokojowe-44-m2-a4t1m7
3954366,359000,37.0,2,Łódź Dąbrowa,ul. Wincentego Kadłubka,Mieszkanie,Nie,"Jeśli szukasz jasnego, przytulnego mieszkania po generalnym remoncie, w świetnie skomunikowanej części Łodzi - Dąbrowa - ta oferta z pewnością zwróci Twoją uwagę - propozycja zarówno dla singla, pary, jak i inwestora poszukującego nieruchomości pod wynajem. 
Mieszkanie przy ul. Wincentego Kadłubka ł...",https://adresowo.pl/o/mieszkanie-lodz-dabrowa-ul-wincentego-kadlubka-2-pokojowe-r0u7s4
3954164,475000,61.0,2,Łódź Bałuty,ul. Romanowska,Mieszkanie,Nie,"Zapraszamy do zapoznania się z ofertą sprzedaży przestronnego mieszkania położonego na osiedlu Zielony Romanów przy ul. Romanowskiej w Łodzi. Nieruchomość znajduje się w spokojnej, zielonej okolicy, na pograniczu Łodzi, Aleksandrowa Łódzkiego oraz Rąbienia. To propozycja dla osób ceniących ciszę, bl...",https://adresowo.pl/o/mieszkanie-lodz-baluty-ul-romanowska-2-pokojowe-q9u0a6
3954044,669000,77.0,2,Łódź Chojny,ul. Wigilijna,Mieszkanie,Tak,"BARDZO PROSZĘ ABY BIURA NIERUCHOMOŚCI NIE DZWONIŁY .

Niepowtarzalny apartament z obszernym tarasem i balkonem, który chcielibyśmy Państwu zaoferować, znajduje się na trzecim piętrze w cztero-piętrowym budynku z windą, z 1996 r. O łącznej pow. 77,9 m2, przy czym powierzchnia mieszkalna wynosi 75,25 ...",https://adresowo.pl/o/mieszkanie-lodz-chojny-ul-wigilijna-2-pokojowe-k2y8m7
3953840,250000,35.0,2,Łódź,Górna,Mieszkanie,Tak,"Proszę o niekontaktowanie się biur nieruchomości.

Na sprzedaż mieszkanie o powierzchni 35 m², położone na parterze w ładnym, zadbanym bloku.

Mieszkanie składa się z:

* 2 oddzielnych pokoi,
* osobnej kuchni,
* łazienki z WC,
* przedpokoju.

Blok z cegły.
Okna plastikowe.
Bardzo niski czynsz.
Klatk...",https://adresowo.pl/o/mieszkanie-lodz-gorna-2-pokojowe-35-m2-d0h3r4
3953762,530000,53.0,3,Łódź Retkinia,ul. Armii Krajowej,Mieszkanie,Tak,"Sprzedaż bez pośrednika.

Na sprzedaż w pełni rozkładowe, 3 pokojowe mieszkanie z dużą loggią, znajdujące się na parterze w czteropiętrowym bloku. Lokal jest w dobrym stanie i nadaje się do zamieszkania.

Mieszkanie ma powierzchnię 53 m2 i składa się z:
- salonu z wyjściem na balkon,
- 2 ustawnych, ...",https://adresowo.pl/o/mieszkanie-lodz-retkinia-ul-armii-krajowej-3-pokojowe-y2l0k6
3954026,410000,44.0,2,Łódź Kurak,ul. Ignacego Paderewskiego,Mieszkanie,Nie,"Na sprzedaż 2-pokojowe mieszkanie o powierzchni 44 m², położone na 4 piętrze w niskim, 4-piętrowym bloku z 1962 roku przy ul. Ignacego Paderewskiego w Łodzi.

 Lokal dwustronny – ekspozycja okien:
 • balkon – kuchnia - wschód
 • sypialnia – zachód

 Dzięki takiemu układowi mieszkanie jest jasne i do...",https://adresowo.pl/o/mieszkanie-lodz-kurak-ul-ignacego-paderewskiego-2-pokojowe-s5d3q1
