ID,Cena,Metraż,Pokoje,Lokalizacja,Ulica,Typ,Bez Pośredników,Opis,Link
3860858,530000,23.0,1,Warszawa Ochota,ul. Barska,Mieszkanie,Tak,"Oferta prywatna

Sprzedam przestronne i jasne mieszkanie o powierzchni 23,25 m2, położone przy ul. Barskiej 7/9, na 3. piętrze w zadbanej, ocieplonej, ceglanej kamienicy z lat 50. Dodatkowo parking ze szlabanem dla mieszkańców wspólnoty bez dodatkowych opłat.
Jest to jedna z najbardziej prestiżowych...",https://adresowo.pl/o/mieszkanie-warszawa-ochota-ul-barska-1-pokoj-a3i4u8
3939618,849000,73.0,4,Warszawa Bemowo,ul. Waleriana Czumy,Mieszkanie,Tak,"Na sprzedaż mieszkanie o powierzchni 73 m², zlokalizowane na 10. piętrze bloku z wielkiej płyty na Bemowie przy ul. Czumy 2.
Blok po termomodernizacji.
Dużo przestrzeni między blokami, ładne widoki z 10. piętra.

Spółdzielczo-własnościowe prawo do lokalu z księgą wieczystą.

Mieszkanie w stanie do g...",https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-waleriana-czumy-4-pokojowe-f4k3v9
3939610,899000,64.0,3,Warszawa Jelonki,ul. Kazimierza Wyki,Mieszkanie,Tak,"Dzień dobry,

Mamy przyjemność prezentować do sprzedaży doskonale położone trzypokojowe mieszkanie, znajdujące się na Osiedlu Jelonki przy ulicy Wyki. W odległości kilkuset metrów znajdują się planowane stacje metra Chrzanów i Lazurowa.

W najbliższej okolicy znajdują się sklepy, szkoła, przedszkole...",https://adresowo.pl/o/mieszkanie-warszawa-jelonki-ul-kazimierza-wyki-3-pokojowe-g2o9r7
3617916,,49.0,2,Warszawa Włochy,ul. Trzcinowa,Mieszkanie,Tak,"Nowe mieszkanie 2-pokojowe o powierzchni 49,15 m² w inwestycji Trzcinowa Vita dewelopera DEVELIA, na parterze w budynku 18 pod adresem ul. Trzcinowa 18, Warszawa Włochy. Planowany termin oddania to II kwartał 2027 roku.

Trzcinowa Vita to nowoczesna inwestycja mieszkaniowa zlokalizowana w spokojnej,...",https://adresowo.pl/o/mieszkanie-warszawa-wlochy-ul-trzcinowa-2-pokojowe-x8f6s8
3939674,890000,39.0,2,Warszawa Mokotów,ul. Stefana Batorego,Mieszkanie,Nie,"2-pokojowe mieszkanie zlokalizowane na  Mokotowie przy ul. Stefana Batorego

BUDYNEK/OSIEDLE
Mieszkanie znajduje się na  14 piętrze w 15  piętrowym budynku.

Rok budowy: 1970

NIERUCHOMOŚĆ
Mieszkanie o powierzchni  39m2 składa się z:
-salonu z aneksem kuchennym,
-sypialni,
-łazienki,
-przedpokoju.

...",https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-stefana-batorego-2-pokojowe-e3e1z5
3939642,695000,56.0,3,Warszawa Mokotów,ul. Kartaginy,Mieszkanie,Nie,"Na sprzedaż 3-pokojowe, rozkładowe i dwustronne mieszkanie z oddzielną, widną kuchnią oraz dużym balkonem. Lokal znajduje się na Mokotowie, w rejonie Stegien, przy ul. Kartaginy.
Mieszkanie jest w stanie do kapitalnego remontu, co stanowi świetną bazę do aranżacji według własnego pomysłu.
(English d...",https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-kartaginy-3-pokojowe-s1f6q8
3939600,720000,50.0,3,Warszawa Bielany,ul. Williama Szekspira,Mieszkanie,Tak,"OFF MARKET!!!

Na sprzedaż wyjątkowe, przestronne mieszkanie o powierzchni 50,7m², położone w Warszawie przy ul. Szekspira. Mieszkanie idealne - dla osób ceniących wygodę, jakość i komfort życia.

Mieszkanie składa się z przestronnego salonu z oddzielną kuchnią (istnieje możliwość połączenia tych po...",https://adresowo.pl/o/mieszkanie-warszawa-bielany-ul-williama-szekspira-3-pokojowe-x2c6l2
3939588,1320000,97.0,4,Warszawa Białołęka,ul. Płochocińska,Mieszkanie,Tak,"Piękny i funkcjonalny apartament w doskonałej lokalizacji przy ulicy Płochocińskiej 101H zaprojektowała pracownia projektowa Marty Zielińskiej.

Mieszkanie znajduje się na I piętrze w trzypiętrowym, zadbanym budynku z windą, na ogrodzonym i bezpiecznym osiedlu.

Mieszkanie jest przestronne, jasne, w...",https://adresowo.pl/o/mieszkanie-warszawa-bialoleka-ul-plochocinska-4-pokojowe-h7s4a4
3735932,,47.0,2,Warszawa Bemowo,ul. Podgrodzie,Mieszkanie,Tak,"Nowe mieszkanie 2-pokojowe o powierzchni 47,78 m² w inwestycji Viva Cite dewelopera DEVELIA, na 3 piętrze pod adresem ul. Podgrodzie, Warszawa Bemowo. Planowany termin oddania to III kwartał 2027 roku.

LOKALIZACJA
Viva Cité powstaje przy ul. Podgrodzie, w pobliżu ul. Sochaczewskiej, w dynamicznie ...",https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-podgrodzie-2-pokojowe-t2i4v5
3939248,1200000,65.0,3,Warszawa Mokotów,ul. Bachmacka,Mieszkanie,Nie,"3-pokojowe mieszkanie zlokalizowane na Mokotowie przy ul. Bachmackiej 

BUDYNEK/OSIEDLE
Mieszkanie znajduje się na 3  piętrze w 4  piętrowym budynku.

NIERUCHOMOŚĆ
Mieszkanie o powierzchni 65m2 składa się z:
-salonu z wyjściem na balkon,
-dwóch sypialni,
-widnej kuchni,
-łazienki,
-WC,
-przedpokoju....",https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-bachmacka-3-pokojowe-r0c9d4
3939230,608500,36.0,2,Warszawa Ursynów,ul. Hilarego Koprowskiego,Mieszkanie,Nie,"2-pokojowe mieszkanie na Ursynowie przy ul. Koprowskiego

BUDYNEK 
Mieszkanie znajduje się na 3 piętrze w 3 piętrowym budynku

NIERUCHOMOŚĆ
Mieszkanie o powierzchni 36,39m2 składa się z:

- łazienki,
- salonu z aneksem kuchennym,
- sypialni.

Powierzchnia dodatkowa:
- balkon

Mieszkanie własnościowe...",https://adresowo.pl/o/mieszkanie-warszawa-ursynow-ul-hilarego-koprowskiego-2-pokojowe-e6s9u2
3939586,1200000,65.0,3,Warszawa Mokotów,ul. Bachmacka,Mieszkanie,Tak,"Mieszkanie na 3. piętrze budynku bez windy.
Dwustronne (północ i południe).

Składające się z: salonu z wyjściem na balkon, dwóch sypialni, kuchni z zabudową kuchenną, łazienki, osobnego WC. Dodatkowo prawie 6m² piwnica.

Czynsz: 1200 zł.

Cena nie podlega negocjacji.

Możliwość obejrzenia w każdej ...",https://adresowo.pl/o/mieszkanie-warszawa-mokotow-ul-bachmacka-3-pokojowe-n0s5t3
3939582,650000,48.0,2,Warszawa Stegny,ul. Nicejska,Mieszkanie,Tak,"2 pokoje | 48 m²

Stegny | ul. Nicejska | 9 piętro | duży balkon

Warszawa - Mokotów (Stegny)

Szczegóły:
- 2 niezależne pokoje
- oddzielna, widna kuchnia
- Łazienka + osobne WC
- duży balkon z otwartym widokiem
- piwnica

Budynek:
- z 1976 roku
- z windą
- miejsca parkingowe za szlabanem
- grunty u...",https://adresowo.pl/o/mieszkanie-warszawa-stegny-ul-nicejska-2-pokojowe-j9y9g5
3530414,,43.0,2,Warszawa Chrzanów,ul. Szeligowska,Mieszkanie,Tak,"Nowe mieszkanie 2-pokojowe o powierzchni 43,99 m² w inwestycji Bemowo Vita dewelopera DEVELIA, na 5 piętrze w budynku 59 pod adresem ul. Szeligowska 59, Warszawa Chrzanów. Planowany termin oddania to III kwartał 2025 roku.

Oferta

Aktualna oferta osiedla obejmuje pięć 6/7- kondygnacyjnych budynkó...",https://adresowo.pl/o/mieszkanie-warszawa-chrzanow-ul-szeligowska-2-pokojowe-v1p3g9
3939234,535000,25.0,1,Warszawa Ochota,ul. Grójecka,Mieszkanie,Nie,"1-pokojowe mieszkanie zlokalizowane na  Ochocie przy ul. Grójeckiej 

BUDYNEK/OSIEDLE
Mieszkanie znajduje się na 10  piętrze w  11 piętrowym budynku.

Rok budowy: 2011

NIERUCHOMOŚĆ
Mieszkanie o powierzchni  25,1m2 składa się z:
-pokoju dziennego,
-aneksu kuchennego,
-łazienki,
-holu.

Powierzchnia ...",https://adresowo.pl/o/mieszkanie-warszawa-ochota-ul-grojecka-1-pokoj-y4p4r2
3939206,1410000,67.0,3,Warszawa Bemowo,ul. Piastów Śląskich,Mieszkanie,Nie,"3-pokojowe mieszkanie zlokalizowane na  Bemowie przy ul. Powstańców Śląskich 

BUDYNEK/OSIEDLE
Mieszkanie znajduje się na  4 piętrze w  8 piętrowym budynku.

Rok budowy: 2008

NIERUCHOMOŚĆ
Mieszkanie o powierzchni  67,38m2 składa się z:
-salonu połączonego z kuchnią,
-sypialni z garderobą,
-gabinetu...",https://adresowo.pl/o/mieszkanie-warszawa-bemowo-ul-piastow-slaskich-3-pokojowe-n3j6f2
