ID,Cena,Metraż,Pokoje,Lokalizacja,Ulica,Typ,Bez Pośredników,Opis,Link
3918988,719000,55.0,3,Wrocław Sołtysowice,ul. Rafała Wojaczka,Mieszkanie,Tak,"Na sprzedaż funkcjonalne mieszkanie o powierzchni 55,0 m², położone na wysokim parterze w 6-piętrowym budynku z windą, wybudowanym w 2015 roku przez dewelopera Milart.

Mieszkanie posiada rolety antywłamaniowe w każdym oknie, drzwi antywłamaniowe, wejście do budynku zabezpieczone dwoma domofonami.

...",https://adresowo.pl/o/mieszkanie-wroclaw-soltysowice-ul-rafala-wojaczka-3-pokojowe-i2z9g7
3955388,585000,41.0,2,Wrocław Różanka,ul. Zaułek Rogoziński,Mieszkanie,Tak,"Mieszkanie własnościowe, w dobrej lokalizacji we Wroclawiu na dzielnicy Różanka.
Mieszkanie znajduje się w wieżowcu, na pierwszym piętrze. Blok jest ocieplony, winda została wymieniona kilka lat temu, w 2025 roku był zrobiony remont klatki schodowej. 
Blisko przystanki tramwajowe i autobusowe, sklep...",https://adresowo.pl/o/mieszkanie-wroclaw-rozanka-ul-zaulek-rogozinski-2-pokojowe-b7f0h4
3955214,560000,38.0,2,Wrocław Krzyki,ul. Braterska,Mieszkanie,Tak,".6.6.9 251 999 Sprzedam mieszkanie z miejscem parkingowym - BEZPOŚREDNIO w nowym budownictwie we Wrocławiu, Krzyki - Partynice (termin oddania do użytkowania 03.2026).
Stan deweloperski.

Kondygnacja: parter
Powierzchnia: około 38,50 m²
Liczba pokoi: 2
Balkon: 4,5 m2
Dwie wnęki na szafę.

Mieszkanie...",https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-braterska-2-pokojowe-t1p3n7
3531648,,41.0,2,Wrocław Popowice,ul. Legnicka,Mieszkanie,Tak,"Nowe mieszkanie 2-pokojowe o powierzchni 41,74 m² w inwestycji Legnicka Vita dewelopera DEVELIA, na 11 piętrze w budynku 52A pod adresem ul. Legnicka 52A, Wrocław Popowice. Planowany termin oddania to IV kwartał 2025 roku.

Lokalizacja

Legnicka Vita to najnowsza propozycja Develii realizowana w d...",https://adresowo.pl/o/mieszkanie-wroclaw-popowice-ul-legnicka-2-pokojowe-t3c9e9
3534770,780000,65.0,3,Wrocław,ul. Stanisława Drabika,Mieszkanie,Nie,"NA SPRZEDAŻ: Nowoczesne 3-pokojowe mieszkanie z 2 balkonami na Jagodnie!
Zapraszam do zapoznania się z ofertą sprzedaży nowego, przestronnego mieszkania o powierzchni 65,43 m, zlokalizowanego w dynamicznie rozwijającej się dzielnicy Wrocławia-Jagodno (Krzyki). To idealna propozycja dla osób ceniącyc...",https://adresowo.pl/o/mieszkanie-wroclaw-ul-stanislawa-drabika-3-pokojowe-b3r8v0
3518616,1150000,82.0,4,Wrocław,ul. Michała Bałuckiego,Mieszkanie,Nie,"NOWA CENA!
PLAC KOŚCIUSZKI/ BAŁUCKIEGO, na sprzedaż mieszkanie 4-pokojowe w zabytkowej kamienicy, w ścisłym centrum miasta. Idealne na kancelarię notarialną, prawniczą, każdą inną biurową, najem krótko lub długoterminowy. Na parterze 4-pietrowego budynku, z wejściem przez okazałą bramę i od podwórka...",https://adresowo.pl/o/mieszkanie-wroclaw-ul-michala-baluckiego-4-pokojowe-o3e4z5
3949664,530000,38.0,2,Wrocław Gaj,ul. Jabłeczna,Mieszkanie,Tak,"Na sprzedaż mieszkanie  38,2 m2. 

Usytuowane jest na siódmym  piętrze  7/10  (z windą) bloku wybudowanego w latach 80tych . W mieszkaniu są dwa pokoje , osobna kuchnia, oraz łazienka i ubikacja. Budynek  jest po termomodernizacji i remoncie elewacji , zadbana klatka schodowa , spokojne sąsiedztwo ...",https://adresowo.pl/o/mieszkanie-wroclaw-gaj-ul-jableczna-2-pokojowe-r5t8o5
3952758,1000000,54.0,3,Wrocław Popowice,ul. Białowieska,Mieszkanie,Tak,"Na sprzedaż dwustronne mieszkanie z dwiema sypialniami, pokojem dziennym z aneksem kuchennym, łazienką i balkonem:.

Lokalizacja: Port Popowice
Doskonałe położenie, blisko wjazdu na obwodnicę Wrocławia centrum handlowego Magnolia, Hali Tęczą.

Otoczenie: tereny zielone, parki -Zachodni i Popowicka, ...",https://adresowo.pl/o/mieszkanie-wroclaw-popowice-ul-bialowieska-3-pokojowe-g4s8g2
3682924,,39.0,2,Wrocław Krzyki,ul. Międzyleska,Mieszkanie,Tak,"Nowe mieszkanie 2-pokojowe o powierzchni 39,16 m² w inwestycji Przy Parku Vita dewelopera DEVELIA, na parterze w budynku 2 pod adresem ul. Międzyleska 2, Wrocław Krzyki. Planowany termin oddania to III kwartał 2027 roku.

Opis inwestycji

Przy Parku Vita to wyjątkowa inwestycja mieszkaniowa położo...",https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-miedzyleska-2-pokojowe-p2s7l1
3954658,579000,47.0,2,Wrocław,Fabryczna,Mieszkanie,Nie,"Mieszkanie dwupokojowe o powierzchni 47,7 m², usytuowane na 5. piętrze przy ulicy Kozanowskiej. To idealne rozwiązanie dla osób poszukujących przestrzeni, funkcjonalności i słonecznych wnętrz, w których od razu można zamieszkać. 
W pełni rozkładowe, dwustronne mieszkanie zapewnia wygodny układ pomie...",https://adresowo.pl/o/mieszkanie-wroclaw-fabryczna-2-pokojowe-47-m2-l4j5e0
3954372,1520000,95.0,4,Wrocław,Most św. Antoniego,Mieszkanie,Nie,"DWUPAK INWESTYCYJNY | 2 Niezależne Mieszkania | 94,48 m | Stare Miasto | Parking
Zapraszamy do odkrycia wyjątkowego mieszkania na sprzedaż, usytuowanego w sercu Wrocławia, na ul. Świętego Antoniego, tuż przy Kinie Helios, w dzielnicy Wrocław-Stare Miasto. To luksusowe lokum znajduje się w kamienicy ...",https://adresowo.pl/o/mieszkanie-wroclaw-most-sw-antoniego-4-pokojowe-s5z9q5
3954278,619000,41.0,2,Wrocław Lipa Piotrowska,ul. Czarnuszkowa,Mieszkanie,Tak,"Na sprzedaż jasne i funkcjonalne mieszkanie o powierzchni 40.84 m², położone na 2 piętrze w budynku z windą z 2020 roku, na kameralnym osiedlu w spokojnej części Lipy Piotrowskiej we Wrocławiu.

Mieszkanie jest gotowe do wprowadzenia, bardzo dobrze doświetlone dzięki południowej ekspozycji okien.

U...",https://adresowo.pl/o/mieszkanie-wroclaw-lipa-piotrowska-ul-czarnuszkowa-2-pokojowe-k4o7q5
3953814,785000,61.0,3,Wrocław Śródmieście,ul. 9 Maja,Mieszkanie,Tak,"Zamieszkaj w komfortowym mieszkaniu o powierzchni 61,5 m².

Znajduje się na drugim piętrze kamienicy z 1932 roku, w pełni gotowe do zamieszkania.
Mieszkanie ma trzy pokoje, kuchnię, łazienkę i piwnicę.
Wyposażone jest w podstawowe sprzęty, takie jak pralka, lodówka, kuchenka i telewizor.
Duże okna z...",https://adresowo.pl/o/mieszkanie-wroclaw-srodmiescie-ul-9-maja-3-pokojowe-l1t5z4
3639652,,41.0,2,Wrocław Tarnogaj,ul. Piękna,Mieszkanie,Tak,"Nowe mieszkanie 2-pokojowe o powierzchni 41,44 m² w inwestycji Piękna Vita dewelopera DEVELIA, na 2 piętrze w budynku 29 pod adresem ul. Piękna 29, Wrocław Tarnogaj. Planowany termin oddania to IV kwartał 2026 roku.

Lokalizacja
Bemowo Vita to nowoczesny projekt mieszkaniowy, realizowany przez firm...",https://adresowo.pl/o/mieszkanie-wroclaw-tarnogaj-ul-piekna-2-pokojowe-s4l1k1
3952378,799500,59.0,3,Wrocław Krzyki,ul. Semaforowa,Mieszkanie,Nie,"Na sprzedaż | 3-pokojowe mieszkanie z pięknym tarasem | ul. Semaforowa 

Na sprzedaż 3-pokojowe, dwustronne mieszkanie z tarasem, klimatyzacją, miejscem postojowym w garażu podziemnym (dodatkowo płatne) oraz komórką lokatorską (3,32 m), zlokalizowane przy ul. Semaforowej. 

Nieruchomość znajduje się...",https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-semaforowa-3-pokojowe-w4j0o0
3951062,750000,48.0,2,Wrocław Swojczyce,ul. Jamesa Cooka,Mieszkanie,Nie,"Polecam na sprzedaż mieszkanie dwupokojowe o powierzchni 48,61 m2 usytuowane na trzecim piętrze czteropiętrowego budynku mieszkalnego z 2017 roku, zlokalizowanego w okolicach ulicy Cooka na osiedlu Olimpia Port we Wrocławiu. Cena mieszkania wynosi 750 000,00 zł.

W skład mieszkania wchodzi:

- salon...",https://adresowo.pl/o/mieszkanie-wroclaw-swojczyce-ul-jamesa-cooka-2-pokojowe-p2a1a1
3953806,499000,40.0,2,Wrocław Stare Miasto,ul. Krupnicza,Mieszkanie,Tak,"OPIS:
UWAGA: Oferta skierowana wyłącznie do inwestorów oraz osób dysponujących kapitałem własnym (zakup gotówkowy).

Sprzedaję wykończony pod klucz, bezobsługowy lokal inwestycyjny w samym sercu Wrocławia – przy ul. Krupniczej, tuż obok Narodowego Forum Muzyki. To \""pancerny\"" adres, który gwarantuj...",https://adresowo.pl/o/mieszkanie-wroclaw-stare-miasto-ul-krupnicza-2-pokojowe-t1c0m1
